feature,log_odds_coefficient,odds_ratio,std_error,z_value,p_value,abs_log_odds
skill::Technical Nursing Skills,-2.0734717793518254,0.12574845210882252,12.521951684423422,-0.16558694935160173,0.8684820184101449,2.0734717793518254
skill::Patient Family,-1.4308088021134358,0.2391154469338465,20.13116446349834,-0.0710743188605789,0.943338607049016,1.4308088021134358
skill::Critical Care Nursing,1.342717930600758,3.8294375192809302,15.754212256835022,0.0852291380051843,0.9320792260759377,1.342717930600758
skill::Public Health Interventions,-1.3295184237065911,0.2646046579521534,10.532525513239026,-0.12622978430343526,0.8995500354646929,1.3295184237065911
skill::Neuro ICU,1.2863640890276424,3.6196020506227087,12.97703672920321,0.09912618079694879,0.9210380851856148,1.2863640890276424
skill::Social Statistics,-1.198798209591648,0.30155640182171634,12.425200718948236,-0.09648119468714092,0.9231384087093473,1.198798209591648
skill::Healthcare Procedures,-1.08233372906642,0.3388039257450367,9.298096510323832,-0.11640379596669992,0.9073325271008382,1.08233372906642
skill::Construction Management Software,-1.013010932836065,0.36312398998370454,8.8212832385593,-0.11483713938670798,0.9085742108017277,1.013010932836065
skill::Inpatient Obstetric Nursing,-0.9422573958203618,0.3897470282548403,16.379683858709846,-0.05752598181675646,0.9541262098770152,0.9422573958203618
skill::Training Package,-0.8977085739876663,0.4075023522245619,9.932413986407305,-0.09038171135599034,0.9279838894297007,0.8977085739876663
Intercept,-0.8843220687274389,0.41299405998500066,1.7692680471283335,-0.49982368141603295,0.6171992342437955,0.8843220687274389
skill::Medical Writing,-0.8463962825420428,0.42895799330941453,9.381541647950005,-0.0902193172832092,0.9281129339526853,0.8463962825420428
skill::School of Nursing,-0.8446729406608493,0.42969787193335296,13.636385253196401,-0.0619425841216136,0.9506085553625961,0.8446729406608493
skill::Acute Care RN,-0.8381873651438941,0.43249376662409805,21.06387501735986,-0.03979264805042279,0.9682584375965176,0.8381873651438941
skill::Biomedical Science,-0.7842869765285082,0.4564450418125763,12.200846895901764,-0.06428135548458921,0.9487461989155176,0.7842869765285082
skill::Activity Program Development,-0.7701803814435754,0.4629295568777547,8.944042222824326,-0.08611099570596278,0.9313781827850591,0.7701803814435754
skill::Institutional Review Board Irb,-0.7641114004271486,0.46574761027701583,8.997905469406057,-0.08492103001362016,0.9323241726451592,0.7641114004271486
skill::Custom Backend,0.7622532083455971,2.1430996343595337,8.827095617199483,0.0863537953367534,0.9311851756474888,0.7622532083455971
skill::Internal Medicine and Pediatrics,-0.7499159852726909,0.4724062401552735,9.506369423063669,-0.07888563466230322,0.9371235895098613,0.7499159852726909
